source,target,weight,ref_type
skills/framework/references/script-design-guide.md,skills/framework/references/claude-code-config.md,1,wikilink
skills/framework/references/script-design-guide.md,skills/framework/references/e2e-test-harness.md,1,wikilink
skills/framework/references/strategic-partner-mode.md,AXIOMS.md,2,wikilink
skills/framework/references/strategic-partner-mode.md,AXIOMS.md,1,env_path
skills/framework/references/strategic-partner-mode.md,skills/framework/references/claude-code-config.md,1,wikilink
skills/framework/references/strategic-partner-mode.md,skills/framework/references/hooks_guide.md,1,wikilink
skills/framework/references/strategic-partner-mode.md,skills/framework/references/script-design-guide.md,1,wikilink
skills/framework/tests/manual_test_skill_discovery.md,AXIOMS.md,1,wikilink
skills/framework/tests/manual_test_skill_discovery.md,README.md,1,wikilink
skills/framework/tests/test_email_workflow_tools.py,skills/tasks/workflows/email-capture.md,1,path_literal
skills/framework/tests/test_framework_integrity.sh,AXIOMS.md,1,env_path
skills/framework/tests/test_framework_integrity.sh,README.md,1,path_literal
skills/framework/tests/test_session_start_content.sh,CLAUDE.md,1,env_path
skills/framework/tests/test_session_start_content.sh,README.md,1,env_path
skills/framework/tests/test_session_start_content.sh,README.md,1,at_inclusion
skills/framework/tests/test_user_prompt_hook_integration.sh,hooks/templates/user-prompt-submit.md,1,path_literal
skills/framework/tests/test_user_prompt_hook_integration.sh,hooks/user_prompt_submit.py,1,path_literal
skills/framework/workflows/01-design-new-component.md,INDEX.md,1,wikilink
skills/framework/workflows/01-design-new-component.md,README.md,1,wikilink
skills/framework/workflows/06-develop-specification.md,ROADMAP.md,1,env_path
skills/learning-log/SKILL.md,HEURISTICS.md,1,env_path
skills/learning-log/SKILL.md,ROADMAP.md,1,env_path
skills/learning-log/SKILL.md,lib/session_reader.py,1,python_import_from
skills/learning-log/SKILL.md,specs/enforcement.md,1,wikilink
skills/python-dev/SKILL.md,AXIOMS.md,1,wikilink
skills/python-dev/SKILL.md,skills/python-dev/references/bigquery.md,1,wikilink
skills/python-dev/SKILL.md,skills/python-dev/references/code-quality.md,1,wikilink
skills/python-dev/SKILL.md,skills/python-dev/references/fail-fast.md,1,wikilink
skills/python-dev/SKILL.md,skills/python-dev/references/fastapi.md,1,wikilink
skills/python-dev/SKILL.md,skills/python-dev/references/fastmcp.md,1,wikilink
skills/python-dev/SKILL.md,skills/python-dev/references/hydra.md,1,wikilink
skills/python-dev/SKILL.md,skills/python-dev/references/modern-python.md,1,wikilink
